prot_id	transcript_id	gene_id	gene_name	description	source	selected
ENSP00000252576	ENST00000252576	ENSG00000186010	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	HGNC Symbol;Acc:17194	1
ENSP00000452549	ENST00000555938	ENSG00000258674	CTC-260F20.3	Uncharacterized protein; YjeF N-terminal domain-containing protein 3	UniProtKB/TrEMBL;Acc:E7ENQ6	1
ENSP00000429690	ENST00000519374	ENSG00000113732	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	HGNC Symbol;Acc:863	1
ENSP00000332013	ENST00000328969	ENSG00000197114	ZGPAT	zinc finger, CCCH-type with G patch domain	HGNC Symbol;Acc:15948	1
ENSP00000355517	ENST00000366559	ENSG00000117009	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	HGNC Symbol;Acc:6381	1
ENSP00000308279	ENST00000312292	ENSG00000174038	C9orf131	chromosome 9 open reading frame 131	HGNC Symbol;Acc:31418	1
ENSP00000321070	ENST00000321341	ENSG00000082212	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	HGNC Symbol;Acc:6984	1
ENSP00000242067	ENST00000242067	ENSG00000122507	BBS9	Bardet-Biedl syndrome 9	HGNC Symbol;Acc:30000	1
ENSP00000433361	ENST00000534025	ENSG00000175348	TMEM9B	TMEM9 domain family, member B	HGNC Symbol;Acc:1168	1
ENSP00000229243	ENST00000229243	ENSG00000111644	ACRBP	acrosin binding protein	HGNC Symbol;Acc:17195	1
ENSP00000354086	ENST00000360840	ENSG00000116221	MRPL37	mitochondrial ribosomal protein L37	HGNC Symbol;Acc:14034	1
ENSP00000229268	ENST00000229268	ENSG00000111667	USP5	ubiquitin specific peptidase 5 (isopeptidase T)	HGNC Symbol;Acc:12628	1
ENSP00000224950	ENST00000224950	ENSG00000107960	OBFC1	oligonucleotide/oligosaccharide-binding fold containing 1	HGNC Symbol;Acc:26200	1
ENSP00000364212	ENST00000375071	ENSG00000158825	CDA	cytidine deaminase	HGNC Symbol;Acc:1712	1
ENSP00000359221	ENST00000370202	ENSG00000122481	RWDD3	RWD domain containing 3	HGNC Symbol;Acc:21393	1
ENSP00000367721	ENST00000378460	ENSG00000030066	NUP160	nucleoporin 160kDa	HGNC Symbol;Acc:18017	1
ENSP00000422131	ENST00000514747	ENSG00000146067	FAM193B	family with sequence similarity 193, member B	HGNC Symbol;Acc:25524	1
ENSP00000346927	ENST00000354862	ENSG00000243477	NAT6	N-acetyltransferase 6 (GCN5-related)	HGNC Symbol;Acc:30252	1
ENSP00000345726	ENST00000349570	ENSG00000099834	CDHR5	cadherin-related family member 5	HGNC Symbol;Acc:7521	1
ENSP00000306397	ENST00000304863	ENSG00000169021	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	HGNC Symbol;Acc:12587	1
ENSP00000323720	ENST00000324817	ENSG00000180182	MED14	mediator complex subunit 14	HGNC Symbol;Acc:2370	1
ENSP00000355735	ENST00000366773	ENSG00000130023	C6orf70	chromosome 6 open reading frame 70	HGNC Symbol;Acc:21056	1
ENSP00000365081	ENST00000375916	ENSG00000204444	APOM	apolipoprotein M	HGNC Symbol;Acc:13916	1
ENSP00000298532	ENST00000298532	ENSG00000165684	SNAPC4	small nuclear RNA activating complex, polypeptide 4, 190kDa	HGNC Symbol;Acc:11137	1
ENSP00000429633	ENST00000522677	ENSG00000185697	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	HGNC Symbol;Acc:7547	1
ENSP00000390011	ENST00000421832	ENSG00000142544	CTU1	cytosolic thiouridylase subunit 1 homolog (S. pombe)	HGNC Symbol;Acc:29590	1
ENSP00000259407	ENST00000259407	ENSG00000136881	BAAT	bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase)	HGNC Symbol;Acc:932	1
ENSP00000311224	ENST00000311148	ENSG00000184227	ACOT1	acyl-CoA thioesterase 1	HGNC Symbol;Acc:33128	1
ENSP00000238651	ENST00000238651	ENSG00000119673	ACOT2	acyl-CoA thioesterase 2	HGNC Symbol;Acc:18431	1
ENSP00000323071	ENST00000326303	ENSG00000177465	ACOT4	acyl-CoA thioesterase 4	HGNC Symbol;Acc:19748	1
ENSP00000261893	ENST00000261893	ENSG00000103642	LACTB	lactamase, beta	HGNC Symbol;Acc:16468	1
ENSP00000295268	ENST00000295268	ENSG00000163116	C4orf37	chromosome 4 open reading frame 37	HGNC Symbol;Acc:28712	1
ENSP00000334219	ENST00000334370	ENSG00000105429	MEGF8	multiple EGF-like-domains 8	HGNC Symbol;Acc:3233	1
ENSP00000262919	ENST00000262919	ENSG00000088812	ATRN	attractin	HGNC Symbol;Acc:885	1
ENSP00000441489	ENST00000538699	ENSG00000198354	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2	HGNC Symbol;Acc:32950	1
ENSP00000364204	ENST00000321556	ENSG00000158828	PINK1	PTEN induced putative kinase 1	HGNC Symbol;Acc:14581	1
ENSP00000340278	ENST00000338639	ENSG00000116288	PARK7	parkinson protein 7	HGNC Symbol;Acc:16369	1
ENSP00000356470	ENST00000367500	ENSG00000116668	SWT1	SWT1 RNA endoribonuclease homolog (S. cerevisiae)	HGNC Symbol;Acc:16785	1
ENSP00000383155	ENST00000400299	ENSG00000198832	RP3-412A9.11	selenoprotein M precursor	RefSeq peptide;Acc:NP_536355	1
ENSP00000305442	ENST00000307149	ENSG00000168434	COG7	component of oligomeric golgi complex 7	HGNC Symbol;Acc:18622	1
ENSP00000452964	ENST00000281581	ENSG00000151838	C14orf38	chromosome 14 open reading frame 38	HGNC Symbol;Acc:19847	1
ENSP00000296121	ENST00000296121	ENSG00000163807	KIAA1143	KIAA1143	HGNC Symbol;Acc:29198	1
ENSP00000300658	ENST00000300658	ENSG00000161395	PGAP3	post-GPI attachment to proteins 3	HGNC Symbol;Acc:23719	1
ENSP00000328182	ENST00000331222	ENSG00000182372	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	HGNC Symbol;Acc:2079	1
ENSP00000382562	ENST00000399654	ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	HGNC Symbol;Acc:6762	1
ENSP00000356825	ENST00000367851	ENSG00000143199	ADCY10	adenylate cyclase 10 (soluble)	HGNC Symbol;Acc:21285	1
ENSP00000216218	ENST00000216218	ENSG00000100380	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	HGNC Symbol;Acc:11343	1
ENSP00000300738	ENST00000300738	ENSG00000167325	RRM1	ribonucleotide reductase M1	HGNC Symbol;Acc:10451	1
ENSP00000315731	ENST00000320095	ENSG00000176845	METRNL	meteorin, glial cell differentiation regulator-like	HGNC Symbol;Acc:27584	1
ENSP00000306100	ENST00000304400	ENSG00000145730	PAM	peptidylglycine alpha-amidating monooxygenase	HGNC Symbol;Acc:8596	1
ENSP00000294543	ENST00000294543	ENSG00000162542	TMCO4	transmembrane and coiled-coil domains 4	HGNC Symbol;Acc:27393	1
ENSP00000232501	ENST00000232501	ENSG00000114388	NPRL2	nitrogen permease regulator-like 2 (S. cerevisiae)	HGNC Symbol;Acc:24969	1
ENSP00000353192	ENST00000360079	ENSG00000196419	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6	HGNC Symbol;Acc:4055	1
ENSP00000258105	ENST00000258105	ENSG00000204822	MRPL53	mitochondrial ribosomal protein L53	HGNC Symbol;Acc:16684	1
ENSP00000424328	ENST00000507110	ENSG00000112996	MRPS30	mitochondrial ribosomal protein S30	HGNC Symbol;Acc:8769	1
ENSP00000368461	ENST00000379163	ENSG00000109911	ELP4	elongation protein 4 homolog (S. cerevisiae)	HGNC Symbol;Acc:1171	1
ENSP00000402561	ENST00000439411	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	HGNC Symbol;Acc:18806	1
ENSP00000352401	ENST00000359429	ENSG00000197713	RPE	ribulose-5-phosphate-3-epimerase	HGNC Symbol;Acc:10293	1
ENSP00000221265	ENST00000221265	ENSG00000006712	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	HGNC Symbol;Acc:25459	1
ENSP00000362712	ENST00000373610	ENSG00000084652	TXLNA	taxilin alpha	HGNC Symbol;Acc:30685	1
ENSP00000261368	ENST00000261368	ENSG00000064692	SNCAIP	synuclein, alpha interacting protein	HGNC Symbol;Acc:11139	1
ENSP00000198767	ENST00000198767	ENSG00000085721	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	HGNC Symbol;Acc:30346	1
ENSP00000273598	ENST00000273598	ENSG00000145029	NICN1	nicolin 1	HGNC Symbol;Acc:18317	1
ENSP00000307887	ENST00000309212	ENSG00000162576	MXRA8	matrix-remodelling associated 8	HGNC Symbol;Acc:7542	1
ENSP00000367609	ENST00000378358	ENSG00000205022	PABPN1L	poly(A) binding protein, nuclear 1-like (cytoplasmic)	HGNC Symbol;Acc:37237	1
ENSP00000072869	ENST00000072869	ENSG00000133597	ADCK2	aarF domain containing kinase 2	HGNC Symbol;Acc:19039	1
ENSP00000335538	ENST00000334879	ENSG00000186146	DEFB131	defensin, beta 131	HGNC Symbol;Acc:18108	1
ENSP00000299238	ENST00000299238	ENSG00000166189	HPS6	Hermansky-Pudlak syndrome 6	HGNC Symbol;Acc:18817	1
ENSP00000295704	ENST00000295704	ENSG00000163481	RNF25	ring finger protein 25	HGNC Symbol;Acc:14662	1
ENSP00000451211	ENST00000557644	ENSG00000139350	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	HGNC Symbol;Acc:7723	1
ENSP00000308193	ENST00000308418	ENSG00000172922	RNASEH2C	ribonuclease H2, subunit C	HGNC Symbol;Acc:24116	1
ENSP00000002125	ENST00000002125	ENSG00000003509	C2orf56	chromosome 2 open reading frame 56	HGNC Symbol;Acc:28816	1
ENSP00000296350	ENST00000296350	ENSG00000163975	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	HGNC Symbol;Acc:7037	1
ENSP00000385834	ENST00000402696	ENSG00000091513	TF	transferrin	HGNC Symbol;Acc:11740	1
ENSP00000231751	ENST00000231751	ENSG00000012223	LTF	lactotransferrin	HGNC Symbol;Acc:6720	1
ENSP00000295148	ENST00000295148	ENSG00000163026	C2orf44	chromosome 2 open reading frame 44	HGNC Symbol;Acc:26157	1
ENSP00000363714	ENST00000374586	ENSG00000106771	TMEM245	transmembrane protein 245	HGNC Symbol;Acc:1363	1
ENSP00000226578	ENST00000226578	ENSG00000109323	MANBA	mannosidase, beta A, lysosomal	HGNC Symbol;Acc:6831	1
ENSP00000379133	ENST00000395787	ENSG00000149089	APIP	APAF1 interacting protein	HGNC Symbol;Acc:17581	1
ENSP00000430073	ENST00000518476	ENSG00000176571	CNBD1	cyclic nucleotide binding domain containing 1	HGNC Symbol;Acc:26663	1
ENSP00000264230	ENST00000264230	ENSG00000084092	NOA1	nitric oxide associated 1	HGNC Symbol;Acc:28473	1
ENSP00000379047	ENST00000395694	ENSG00000164051	CCDC51	coiled-coil domain containing 51	HGNC Symbol;Acc:25714	1
ENSP00000276590	ENST00000276590	ENSG00000147592	LACTB2	lactamase, beta 2	HGNC Symbol;Acc:18512	1
ENSP00000380504	ENST00000397344	ENSG00000162039	C16orf73	chromosome 16 open reading frame 73	HGNC Symbol;Acc:28569	1
ENSP00000279281	ENST00000279281	ENSG00000149823	C11orf2	chromosome 11 open reading frame 2	HGNC Symbol;Acc:1172	1
ENSP00000358896	ENST00000369880	ENSG00000214435	AS3MT	arsenic (+3 oxidation state) methyltransferase	HGNC Symbol;Acc:17452	1
ENSP00000304956	ENST00000302326	ENSG00000169184	MN1	meningioma (disrupted in balanced translocation) 1	HGNC Symbol;Acc:7180	1
ENSP00000252505	ENST00000252505	ENSG00000151360	ALLC	allantoicase	HGNC Symbol;Acc:17377	1
ENSP00000326879	ENST00000325366	ENSG00000082213	C5orf22	chromosome 5 open reading frame 22	HGNC Symbol;Acc:25639	1
ENSP00000364119	ENST00000374980	ENSG00000125977	EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	HGNC Symbol;Acc:3266	1
ENSP00000272418	ENST00000272418	ENSG00000144029	MRPS5	mitochondrial ribosomal protein S5	HGNC Symbol;Acc:14498	1
ENSP00000304410	ENST00000306336	ENSG00000168887	C2orf68	chromosome 2 open reading frame 68	HGNC Symbol;Acc:34353	1
ENSP00000342162	ENST00000341130	ENSG00000188051	TMEM221	transmembrane protein 221	HGNC Symbol;Acc:21943	1
ENSP00000319814	ENST00000319441	ENSG00000124253	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	HGNC Symbol;Acc:8724	1
ENSP00000216780	ENST00000216780	ENSG00000100889	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	HGNC Symbol;Acc:8725	1
ENSP00000355601	ENST00000366641	ENSG00000135766	EGLN1	egl nine homolog 1 (C. elegans)	HGNC Symbol;Acc:1232	1
ENSP00000358737	ENST00000369722	ENSG00000116459	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1	HGNC Symbol;Acc:840	1
ENSP00000355899	ENST00000366932	ENSG00000067533	RRP15	ribosomal RNA processing 15 homolog (S. cerevisiae)	HGNC Symbol;Acc:24255	1
ENSP00000341268	ENST00000345057	ENSG00000102871	TRADD	TNFRSF1A-associated via death domain	HGNC Symbol;Acc:12030	1
ENSP00000347924	ENST00000355697	ENSG00000183605	SFXN4	sideroflexin 4	HGNC Symbol;Acc:16088	1
ENSP00000224807	ENST00000224807	ENSG00000107819	SFXN3	sideroflexin 3	HGNC Symbol;Acc:16087	1
ENSP00000353793	ENST00000360586	ENSG00000198554	WDHD1	WD repeat and HMG-box DNA binding protein 1	HGNC Symbol;Acc:23170	1
ENSP00000247194	ENST00000247194	ENSG00000126790	C14orf149	chromosome 14 open reading frame 149	HGNC Symbol;Acc:20488	1
ENSP00000300151	ENST00000300151	ENSG00000166902	MRPL16	mitochondrial ribosomal protein L16	HGNC Symbol;Acc:14476	1
ENSP00000457008	ENST00000453496	ENSG00000243587	C6orf183	chromosome 6 open reading frame 183	HGNC Symbol;Acc:21562	1
ENSP00000301249	ENST00000301249	ENSG00000167646	DNAAF3	dynein, axonemal, assembly factor 3	HGNC Symbol;Acc:30492	1
ENSP00000384115	ENST00000401548	ENSG00000167077	MEI1	meiosis inhibitor 1	HGNC Symbol;Acc:28613	1
ENSP00000296782	ENST00000296782	ENSG00000164327	RICTOR	RPTOR independent companion of MTOR, complex 2	HGNC Symbol;Acc:28611	1
ENSP00000219368	ENST00000219368	ENSG00000103089	FA2H	fatty acid 2-hydroxylase	HGNC Symbol;Acc:21197	1
ENSP00000384081	ENST00000403714	ENSG00000084710	EFR3B	EFR3 homolog B (S. cerevisiae)	HGNC Symbol;Acc:29155	1
ENSP00000254624	ENST00000254624	ENSG00000132294	EFR3A	EFR3 homolog A (S. cerevisiae)	HGNC Symbol;Acc:28970	1
ENSP00000293778	ENST00000293778	ENSG00000161921	CXCL16	chemokine (C-X-C motif) ligand 16	HGNC Symbol;Acc:16642	1
ENSP00000338093	ENST00000335968	ENSG00000185418	TARSL2	threonyl-tRNA synthetase-like 2	HGNC Symbol;Acc:24728	1
ENSP00000387710	ENST00000455217	ENSG00000113407	TARS	threonyl-tRNA synthetase	HGNC Symbol;Acc:11572	1
ENSP00000358060	ENST00000369064	ENSG00000143374	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative)	HGNC Symbol;Acc:30740	1
ENSP00000305682	ENST00000307301	ENSG00000154719	MRPL39	mitochondrial ribosomal protein L39	HGNC Symbol;Acc:14027	1
ENSP00000300128	ENST00000300128	ENSG00000166881	TMEM194A	transmembrane protein 194A	HGNC Symbol;Acc:29001	1
ENSP00000386292	ENST00000409150	ENSG00000189362	TMEM194B	transmembrane protein 194B	HGNC Symbol;Acc:33700	1
ENSP00000454903	ENST00000545770	ENSG00000236980	RP11-694I15.6	uncharacterized protein LOC646498	RefSeq peptide;Acc:NP_001073997	1
ENSP00000311505	ENST00000310864	ENSG00000173226	IQCB1	IQ motif containing B1	HGNC Symbol;Acc:28949	1
ENSP00000285393	ENST00000285393	ENSG00000147614	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	HGNC Symbol;Acc:18266	1
ENSP00000355802	ENST00000366837	ENSG00000143819	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	HGNC Symbol;Acc:3401	1
ENSP00000377099	ENST00000393454	ENSG00000042088	TDP1	tyrosyl-DNA phosphodiesterase 1	HGNC Symbol;Acc:18884	1
ENSP00000016171	ENST00000016171	ENSG00000014919	COX15	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	HGNC Symbol;Acc:2263	1
ENSP00000362285	ENST00000373189	ENSG00000198246	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3	HGNC Symbol;Acc:23096	1
ENSP00000368192	ENST00000378912	ENSG00000157353	FUK	fucokinase	HGNC Symbol;Acc:29500	1
ENSP00000315152	ENST00000315796	ENSG00000172878	METAP1D	methionyl aminopeptidase type 1D (mitochondrial)	HGNC Symbol;Acc:32583	1
ENSP00000297151	ENST00000297151	ENSG00000164609	SLU7	SLU7 splicing factor homolog (S. cerevisiae)	HGNC Symbol;Acc:16939	1
ENSP00000387262	ENST00000410111	ENSG00000132305	IMMT	inner membrane protein, mitochondrial	HGNC Symbol;Acc:6047	1
ENSP00000261245	ENST00000261245	ENSG00000020426	MNAT1	menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)	HGNC Symbol;Acc:7181	1
ENSP00000457258	ENST00000566157	ENSG00000087263	OGFOD1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	HGNC Symbol;Acc:25585	1
ENSP00000442436	ENST00000542441	ENSG00000105176	URI1	URI1, prefoldin-like chaperone	HGNC Symbol;Acc:13236	1
ENSP00000380880	ENST00000397778	ENSG00000122490	PQLC1	PQ loop repeat containing 1	HGNC Symbol;Acc:26188	1
ENSP00000263202	ENST00000263202	ENSG00000070010	UFD1L	ubiquitin fusion degradation 1 like (yeast)	HGNC Symbol;Acc:12520	1
ENSP00000331302	ENST00000332567	ENSG00000206181	TCEB3B	transcription elongation factor B polypeptide 3B (elongin A2)	HGNC Symbol;Acc:30771	1
ENSP00000328232	ENST00000330682	ENSG00000183791	TCEB3C	transcription elongation factor B polypeptide 3C (elongin A3)	HGNC Symbol;Acc:24617	1
ENSP00000409932	ENST00000451265	ENSG00000234298	TCEB3CL	transcription elongation factor B polypeptide 3C-like	HGNC Symbol;Acc:31007	1
ENSP00000360988	ENST00000371920	ENSG00000102021	LUZP4	leucine zipper protein 4	HGNC Symbol;Acc:24971	1
ENSP00000420608	ENST00000477853	ENSG00000127463	EMC1	ER membrane protein complex subunit 1	HGNC Symbol;Acc:28957	1
ENSP00000328062	ENST00000332180	ENSG00000136051	KIAA1033	KIAA1033	HGNC Symbol;Acc:29174	1
ENSP00000277531	ENST00000277531	ENSG00000130653	PNPLA7	patatin-like phospholipase domain containing 7	HGNC Symbol;Acc:24768	1
ENSP00000407509	ENST00000414982	ENSG00000032444	PNPLA6	patatin-like phospholipase domain containing 6	HGNC Symbol;Acc:16268	1
ENSP00000346725	ENST00000354694	ENSG00000100029	PES1	pescadillo ribosomal biogenesis factor 1	HGNC Symbol;Acc:8848	1
ENSP00000401508	ENST00000449291	ENSG00000147813	NAPRT1	nicotinate phosphoribosyltransferase domain containing 1	HGNC Symbol;Acc:30450	1
ENSP00000216190	ENST00000216190	ENSG00000100353	EIF3D	eukaryotic translation initiation factor 3, subunit D	HGNC Symbol;Acc:3278	1
ENSP00000370419	ENST00000381031	ENSG00000075234	TTC38	tetratricopeptide repeat domain 38	HGNC Symbol;Acc:26082	1
ENSP00000344503	ENST00000340381	ENSG00000188807	TMEM201	transmembrane protein 201	HGNC Symbol;Acc:33719	1
ENSP00000376168	ENST00000392359	ENSG00000169689	STRA13	stimulated by retinoic acid 13 homolog (mouse)	HGNC Symbol;Acc:11422	1
ENSP00000314073	ENST00000317459	ENSG00000149743	TRPT1	tRNA phosphotransferase 1	HGNC Symbol;Acc:20316	1
ENSP00000296597	ENST00000296597	ENSG00000164182	NDUFAF2	NADH dehydrogenase (ubiquinone) complex I, assembly factor 2	HGNC Symbol;Acc:28086	1
ENSP00000295240	ENST00000295240	ENSG00000163093	BBS5	Bardet-Biedl syndrome 5	HGNC Symbol;Acc:970	1
ENSP00000424363	ENST00000513963	ENSG00000251569	RP11-724O16.1	Bardet-Biedl syndrome 5 protein; Uncharacterized protein	UniProtKB/TrEMBL;Acc:E9PBE3	1
ENSP00000378782	ENST00000395384	ENSG00000103485	QPRT	quinolinate phosphoribosyltransferase	HGNC Symbol;Acc:9755	1
