clan	prd_score	netto_dup	gt_dup	count	frac	fisher.pval	fisher.odss	wilcoxon.pval
Otopetrin	-0.130232829666667	0.333333333333333	1.33333333333333	3	0.000607410406964973	1	0	0.349056521681579
P-loop_NTPase	-0.0962283972357143	0.880952380952381	2.47619047619048	42	0.00850374569750962	1	0	0.222387147720889
p450	-0.0194253339	2	1	1	0.000202470135654991	1	0	0.816941021183525
PAH	0.1340692302	4	1.5	2	0.000404940271309982	1	0	0.043451839382999
PAN	0.01390799945	2.5	1	2	0.000404940271309982	1	0	0.919371192214154
PapD-like	-0.0813661625	1.2	2	5	0.00101235067827495	1	0	0.490146720726543
PAT1	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
PDDEXK	-0.286422501	0	0	1	0.000202470135654991	1	0	0.0432324515799183
PDZ-like	-0.148078282557143	0	2	21	0.00425187284875481	1	0	0.005617678258928
Pec_lyase-like	-0.0718535006	1.5	1.5	2	0.000404940271309982	1	0	0.374367058907425
Pentapeptide	0.3567887495	8	2	1	0.000202470135654991	1	0	0.0671481476306895
Peptidase_CA	-0.1762600006	0	1	1	0.000202470135654991	1	0	0.0874369526143959
Peptidase_MA	-0.07860045305	1	2.5	2	0.000404940271309982	1	0	0.692026198244307
Peptidase_MH	-0.0860920005	1	2	1	0.000202470135654991	1	0	0.689376491734763
Peptidase_PA	-0.0208128577	2	1	1	0.000202470135654991	1	0	0.799578954835517
Peptidase_S41_N	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
Perilipin	13.1898466658	121	2	1	0.000202470135654991	0.0202470135654991	Inf	0.04151786631748
PH	-0.119235323257143	0.142857142857143	4.92857142857143	14	0.00283458189916987	1	0	0.400801946587144
Phostensin	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
PI3K_1B_p101	-0.1076150007	1	1	1	0.000202470135654991	1	0	0.577233154353938
PKinase	-0.1704151885	0	0.6	5	0.00101235067827495	1	0	0.0122196238603992
PKK	-0.0860920005	1	1	1	0.000202470135654991	1	0	0.689376491734763
PLAT	-0.1272988893	0	1	1	0.000202470135654991	1	0	0.519492889233785
Plectin	0.15933058775	5	2.5	2	0.000404940271309982	1	0	0.147785613150413
PLU-1	-0.1347870593	0	1	1	0.000202470135654991	1	0	0.468467102014332
POM121	-0.1272988893	0	5	4	0.000809880542619964	1	0	0.538741560426846
POZ	-0.0775823963	1.5	1.75	4	0.000809880542619964	1	0	0.408272523858318
PP2C	-0.1432112505	0	1	1	0.000202470135654991	1	0	0.39870033515855
PTN_MK_N	-0.190948334	0	1	1	0.000202470135654991	1	0	0.0629988073927752
RFX1_trans_act	-0.0922414291	1	2	1	0.000202470135654991	1	0	0.645074939840003
RGS	-0.030779941075	2	0.75	4	0.000809880542619964	1	0	0.122497340453756
RhoGEF	-0.1347870593	0	2	1	0.000202470135654991	1	0	0.468467102014332
RIH_assoc	-0.1636700006	0	2	1	0.000202470135654991	1	0	0.167547295848923
RING	-0.0456593815333333	1.14285714285714	58.0952380952381	21	0.00425187284875481	1	0	0.921366393355515
Rootletin	1.4757183327	20	0	1	0.000202470135654991	0.0202470135654991	Inf	0.0450371168606668
RPEL	-0.0895642936142857	0.857142857142857	1.71428571428571	7	0.00141729094958494	1	0	0.830525192036736
RRM	-0.0929228447777778	0.733333333333333	2.33333333333333	45	0.00911115610447459	1	0	0.716452860223088
RSN1_TM	-0.11258214335	0.5	1	2	0.000404940271309982	1	0	0.423779016861949
RTTN_N	-0.1762600006	0	1	1	0.000202470135654991	1	0	0.0874369526143959
RYDR_ITPR	-0.1347870593	0	3	1	0.000202470135654991	1	0	0.468467102014332
RyR	-0.0366788075	1.5	4.5	2	0.000404940271309982	1	0	0.797886700912952
S15_NS1	0.3622015378	7	2	1	0.000202470135654991	1	0	0.0664196090739214
SAM	0.00807848432857143	2.28571428571429	1.42857142857143	7	0.00141729094958494	1	0	0.790402596634079
SapB_1	-0.1145690004	0	3	2	0.000404940271309982	1	0	0.581279117090631
SAPS	-0.1347870593	0	2	1	0.000202470135654991	1	0	0.468467102014332
Sas10_Utp3	-0.2083072735	0	0	1	0.000202470135654991	1	0	0.0531740238847681
SDA1	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
Sec7_N	0.3363299994	7	1	1	0.000202470135654991	1	0	0.0688099398820876
Serum_albumin	-0.049668461825	0.5	5.5	4	0.000809880542619964	1	0	0.925779851215487
SGNH_hydrolase	-0.0132445458	2	5	1	0.000202470135654991	1	0	0.841289658337907
SH3	-0.1457482287	0	2.21739130434783	23	0.00465681312006479	1	0	0.0100258323261705
SHIPPO-rpt	-0.2527325935	0	0.666666666666667	3	0.000607410406964973	1	0	0.00287606776735053
SLC12	-0.0595252758	1	3	2	0.000404940271309982	1	0	0.787142266283978
SNARE-fusion	-0.2083072735	0	0	1	0.000202470135654991	1	0	0.0531740238847681
SOBP	-0.0182112505	2	3	1	0.000202470135654991	1	0	0.827019263210584
SOGA	-0.110224798125	0.5	4.5	4	0.000809880542619964	1	0	0.420610534798805
Spectrin	-0.132748908661538	0.307692307692308	2	13	0.00263211176351488	1	0	0.0715572241295897
Spin-Ssty	-0.0416614547	0	43	1	0.000202470135654991	1	0	0.766351303080936
Spt20	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
SPT6_acidic	-0.190948334	0	7	1	0.000202470135654991	1	0	0.0629988073927752
SPX	-0.1347870593	0	1	1	0.000202470135654991	1	0	0.468467102014332
SRCR	-0.095448348575	0.75	1	4	0.000809880542619964	1	0	0.302973422740797
THEG	0.09290628435	3	0	2	0.000404940271309982	1	0	0.0684549265090711
Thioredoxin	-0.154231421892857	0.0714285714285714	1.14285714285714	14	0.00283458189916987	1	0	0.00469638444348286
Thyroglobulin_1	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
TIM_barrel	-0.1636700006	0	1	1	0.000202470135654991	1	0	0.167547295848923
TMF_TATA_bd	-0.1636700006	0	1	1	0.000202470135654991	1	0	0.167547295848923
TNF_receptor	-0.0628393554083333	0.75	2.66666666666667	12	0.00242964162785989	1	0	0.841130575829498
TOH_N	-0.1076150007	1	0	1	0.000202470135654991	1	0	0.577233154353938
TPR	-0.10872303800884	0.767955801104972	1.34806629834254	181	0.0366470945535534	0.0523955208442095	0	0.000339077433881487
TPR_MLP1_2	0.1854309996	6	5	1	0.000202470135654991	1	0	0.0893526917475303
TPX2_importin	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
TRAF	-0.042397259325	1.5	0.75	4	0.000809880542619964	1	0	0.526853859660173
TRAPPC9-Trs120	-0.1527586672	0	0	1	0.000202470135654991	1	0	0.30100460890643
TRASH	-0.14140387856	0	3.2	5	0.00101235067827495	1	0	0.265856883409207
Treacle	4.2440885703	32	0	1	0.000202470135654991	0.0202470135654991	Inf	0.0427185664496718
Trefoil	-0.0967701964	0	2.5	2	0.000404940271309982	1	0	0.669734952812085
tRNA_bind_arm	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
Tropomyosin-lke	-0.1205989478	0	2	1	0.000202470135654991	1	0	0.540753963699508
TSP_1	-0.122323422645833	0.625	0.916666666666667	24	0.00485928325571978	1	0	0.00196744287823755
TSP_3	0.068275500725	3.5	1	4	0.000809880542619964	1	0	0.18331274268647
Tubulin-binding	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
Tudor	-0.16577877315	0.1	1.3	10	0.00202470135654991	1	0	0.00716115698591653
U3snoRNP10	-0.0807112505	1	3	1	0.000202470135654991	1	0	0.714362347016147
UBA	-0.1636700006	0	1	1	0.000202470135654991	1	0	0.167547295848923
Ubiquitin	-0.1636700006	0	1	1	0.000202470135654991	1	0	0.167547295848923
UNC45-central	-0.1836041673	0	0.5	2	0.000404940271309982	1	0	0.0205896048107744
uPAR_Ly6_toxin	-0.163308264775	1	2.5	4	0.000809880542619964	1	0	0.0281735804262714
UPF0560	-0.1636700006	0	1	1	0.000202470135654991	1	0	0.167547295848923
Vault	-0.190948334	0	0	1	0.000202470135654991	1	0	0.0629988073927752
Vinculin	-0.1391195005	0	1	2	0.000404940271309982	1	0	0.281229731827857
VPS13	-0.1762600006	0	1	1	0.000202470135654991	1	0	0.0874369526143959
VPS13_mid_rpt	-0.08678576245	1	8	2	0.000404940271309982	1	0	0.589034409204496
vWA-like	-0.02110450978	2	3	5	0.00101235067827495	1	0	0.541913132422719
VWD	-0.0867296352	1.2	0.2	5	0.00101235067827495	1	0	0.222011648874072
WAP	0.11220153785	3.75	4	4	0.000809880542619964	1	0	0.00605996786049028
WH2	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
WW	-0.117633927471429	0.571428571428571	1.28571428571429	7	0.00141729094958494	1	0	0.373228809467016
zf-A20	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
zf-B_box	-0.0592337785	2	1	3	0.000607410406964973	1	0	0.425500147324621
zf-C2HC	0.0533986772	3	1.66666666666667	3	0.000607410406964973	1	0	0.0349603446469293
zf-CXXC	-0.0993369237	1	4	1	0.000202470135654991	1	0	0.600077464886362
zf-FYVE-PHD	-0.0498598564	1.41666666666667	1.5	12	0.00242964162785989	1	0	0.681705572787999
Zn_Beta_Ribbon	-0.138294933715385	0.230769230769231	1.76923076923077	26	0.00526422352702976	1	0	0.0036274816664152
