,gene_symbol,identifier,clan,duplication_score,netto_dup,orthologs_cnt,human_dup,human_frac,dev_from_mean,human_protein_cnt
89,KLHL42,ENSGT00900000140914_ENSG00000087448_Kelch_1,Beta_propeller,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
90,KCNIP3,ENSGT00760000118820_ENSG00000115041_EF-hand_1,EF_hand,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
91,DSG1,ENSGT00910000144083_ENSG00000134760_Cadherin,E-set,-0.078345018268,0,41,0,0.0,-0.0743301461938,4
92,BTRC,ENSGT00760000119106_ENSG00000166167_WD40,Beta_propeller,-0.0192859771807,3,11,0,0.0,-0.0743301461938,1
93,PCDH12,ENSGT00900000140770_ENSG00000113555_Cadherin,E-set,-0.292013249908,0,11,0,0.0,-0.0743301461938,1
94,S100G,ENSGT00530000064238_ENSG00000169906_EF-hand_1,EF_hand,0.446963562753,5,4,1,0.2,0.925669853806,1
95,IKZF4,ENSGT00550000074392_ENSG00000123411_zf-H2C2_2,C2H2-zf,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
96,STAU2,ENSGT00900000140998_ENSG00000040341_dsrm,DSRM,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
97,ANAPC7,ENSGT00390000005482_ENSG00000196510_TPR_2,TPR,0.0562753036437,4,14,0,0.0,-0.0743301461938,1
98,KLHL1,ENSGT00760000118931_ENSG00000150361_Kelch_1,Beta_propeller,-0.0868147499726,0,37,0,0.0,-0.0743301461938,3
99,RCBTB1,ENSGT00910000144029_ENSG00000136144_RCC1,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
100,FBXO42,ENSGT00440000039706_ENSG00000037637_Kelch_4,Beta_propeller,0.270561017929,7,14,0,0.0,-0.0743301461938,1
101,VPS13C,ENSGT00410000025397_ENSG00000129003_VPS13_mid_rpt,VPS13_mid_rpt,-0.0865818392134,2,14,0,0.0,-0.0743301461938,1
102,ITSN1,ENSGT00760000118985_ENSG00000205726_SH3_9,SH3,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
103,INTS4,ENSGT00390000010128_ENSG00000149262_HEAT,TPR,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
104,POM121C,ENSGT00730000110770_ENSG00000272391_POM121,POM121,-0.17845254161,0,18,0,0.0,-0.0743301461938,5
105,KIF15,ENSGT00910000143992_ENSG00000163808_HMMR_C,HMMR_C,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
106,SLITRK5,ENSGT00910000144028_ENSG00000165300_LRR_8,LRR,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
107,CDH4,ENSGT00760000118906_ENSG00000179242_Cadherin,E-set,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
108,AKAP3,ENSGT00420000029845_ENSG00000111254_AKAP_110,AKAP_110,-0.0132591093117,3,16,0,0.0,-0.0743301461938,2
109,COL23A1,ENSGT00900000140850_ENSG00000050767_Collagen,Collagen,0.127703875072,5,14,0,0.0,-0.0743301461938,1
110,SLC25A38,ENSGT00550000075117_ENSG00000144659_Mito_carr,Mito_carr,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
111,PCDH17,ENSGT00900000140770_ENSG00000118946_Cadherin,E-set,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
112,MYL7,ENSGT00760000119196_ENSG00000106631_EF-hand_1,EF_hand,-0.292013249908,0,11,0,0.0,-0.0743301461938,1
113,PEX7,ENSGT00920000149080_ENSG00000112357_WD40,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
114,OGT,ENSGT00550000074327_ENSG00000147162_TPR_1,TPR,1.84198958936,29,14,0,0.0,-0.0743301461938,1
115,SUPT5H,ENSGT00440000037640_ENSG00000196235_KOW,KOW,0.0562753036437,4,14,0,0.0,-0.0743301461938,1
116,LGI4,ENSGT00920000148954_ENSG00000153902_EPTP,EPTP,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
117,SEZ6,ENSGT00760000118803_ENSG00000063015_Sushi,EGF,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
118,BRWD3,ENSGT00890000139394_ENSG00000165288_WD40,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
119,ABCE1,ENSGT00390000015089_ENSG00000164163_AAA_21,P-loop_NTPase,-0.0141430499325,3,15,0,0.0,-0.0743301461938,1
120,LINGO1,ENSGT00760000118831_ENSG00000169783_LRR_8,LRR,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
121,ZNF622,ENSGT00390000018047_ENSG00000173545_zf-C2H2_2,C2H2-zf,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
122,WDR13,ENSGT00390000006228_ENSG00000101940_WD40,Beta_propeller,-0.170165057614,1,13,0,0.0,-0.0743301461938,1
123,AHNAK,ENSGT00530000063716_ENSG00000124942_DUF945,DUF945,24.6934031912,423,17,12,0.0283687943262,11.9256698538,1
124,GLI2,ENSGT00900000140802_ENSG00000074047_zf-C2H2,C2H2-zf,0.111740890688,5,16,1,0.2,0.925669853806,1
125,FAM184A,ENSGT00530000063669_ENSG00000111879_FAM184,FAM184,-0.116428723631,1,19,0,0.0,-0.0743301461938,1
126,VEZF1,ENSGT00530000063522_ENSG00000136451_zf-C2H2_4,C2H2-zf,-0.0132591093117,3,16,0,0.0,-0.0743301461938,1
127,HOMEZ,ENSGT00530000063149_ENSG00000215271_Homez,HTH,-0.221214574899,1,10,0,0.0,-0.0743301461938,1
128,LONRF1,ENSGT00440000033329_ENSG00000154359_TPR_14,TPR,-0.151518218623,2,8,0,0.0,-0.0743301461938,1
129,PAPPA,ENSGT00390000009007_ENSG00000182752_Sushi,EGF,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
130,LRCH2,ENSGT00920000148937_ENSG00000130224_LRR_8,LRR,-0.0865818392134,2,14,0,0.0,-0.0743301461938,1
131,LRRC66,ENSGT00390000014817_ENSG00000188993_LRR_8,LRR,-0.368690958165,1,6,0,0.0,-0.0743301461938,1
132,PTK7,ENSGT00760000118818_ENSG00000112655_Ig_3,Ig,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
133,KLHL12,ENSGT00760000118931_ENSG00000117153_Kelch_1,Beta_propeller,0.252523616734,7,15,1,0.142857142857,0.925669853806,1
134,ANK1,ENSGT00840000129677_ENSG00000029534_Ank_2,Ank,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
135,PSMD10,ENSGT00910000144039_ENSG00000101843_Ank_4,Ank,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
136,SCN4A,ENSGT00830000128242_ENSG00000007314_Ion_trans,Ion_channel,-0.160607287449,0,20,0,0.0,-0.0743301461938,1
137,PCDH15,ENSGT00920000148958_ENSG00000150275_Cadherin,E-set,-0.17845254161,0,18,0,0.0,-0.0743301461938,1
138,RTN4R,ENSGT00920000148971_ENSG00000040608_LRR_8,LRR,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
139,HGF,ENSGT00760000119133_ENSG00000019991_Kringle,Kringle,-0.130126220529,1,17,0,0.0,-0.0743301461938,1
140,TOMM70,ENSGT00900000140844_ENSG00000154174_TPR_1,TPR,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
141,KLHL32,ENSGT00760000118825_ENSG00000186231_Kelch_1,Beta_propeller,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
142,ZNF672,ENSGT00730000111556_ENSG00000171161_zf-H2C2_2,C2H2-zf,4.44696356275,21,4,0,0.0,-0.0743301461938,1
143,PRDM9,ENSGT00530000063157_ENSG00000164256_zf-H2C2_2,C2H2-zf,6.98585695007,108,15,13,0.12037037037,1.78281271095,7
144,TTC30B,ENSGT00390000010116_ENSG00000196659_TPR_19,TPR,-0.18894974994,0,17,0,0.0,-0.0743301461938,2
145,NUB1,ENSGT00390000010557_ENSG00000013374_UBA,UBA,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
146,ANKRD28,ENSGT00840000129677_ENSG00000206560_Ank_2,Ank,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
147,NPNT,ENSGT00920000149031_ENSG00000168743_EGF_CA,EGF,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
148,PLEKHA5,ENSGT00530000063012_ENSG00000052126_WW,WW,-0.170165057614,1,13,0,0.0,-0.0743301461938,1
149,KLHL30,ENSGT00910000143979_ENSG00000168427_Kelch_1,Beta_propeller,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
150,RPS6KA2,ENSGT00920000148962_ENSG00000071242_APH,PKinase,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
151,CAPG,ENSGT00760000119111_ENSG00000042493_Gelsolin,ADF,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
152,NEB,ENSGT00530000062924_ENSG00000183091_Nebulin,Nebulin,5.98674089069,99,16,9,0.0909090909091,8.92566985381,1
153,PABPC1,ENSGT00760000118913_ENSG00000070756_RRM_1,RRM,-0.114719491035,0,28,0,0.0,-0.0743301461938,2
154,MMP9,ENSGT00910000144034_ENSG00000100985_fn2,Kringle,-0.267678812416,0,12,0,0.0,-0.0743301461938,1
155,CDH17,ENSGT00740000115559_ENSG00000079112_Cadherin,E-set,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
156,LRRC3C,ENSGT00390000003913_ENSG00000204913_LRR_1,LRR,-0.642429149798,0,5,0,0.0,-0.0743301461938,1
157,PKP1,ENSGT00760000119167_ENSG00000081277_Arm,TPR,-0.130126220529,1,17,0,0.0,-0.0743301461938,1
158,ALB,ENSGT00390000000113_ENSG00000163631_Serum_albumin,Serum_albumin,-0.0823627115125,0,39,0,0.0,-0.0743301461938,4
159,PTBP2,ENSGT00550000074508_ENSG00000117569_RRM_5,RRM,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
160,CASQ2,ENSGT00390000019377_ENSG00000118729_Thioredoxin_6,Thioredoxin,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
161,TRPV2,ENSGT00550000074425_ENSG00000187688_Ank_2,Ank,-0.139658510826,0,23,0,0.0,-0.0743301461938,2
162,CEP97,ENSGT00910000144283_ENSG00000182504_LRR_4,LRR,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
163,FBXO10,ENSGT00530000063425_ENSG00000147912_Beta_helix,Pec_lyase-like,-0.267678812416,0,12,0,0.0,-0.0743301461938,1
164,OVOL1,ENSGT00920000149010_ENSG00000172818_zf-H2C2_2,C2H2-zf,-0.184345479082,1,12,1,1.0,0.925669853806,1
165,ACAP3,ENSGT00760000118874_ENSG00000131584_Ank_5,Ank,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
166,ZKSCAN8,ENSGT00760000118881_ENSG00000198315_zf-H2C2_2,C2H2-zf,0.80361258175,45,52,0,0.0,-0.0743301461938,18
167,POSTN,ENSGT00530000063860_ENSG00000133110_Fasciclin,Fasciclin,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
168,AC005324.4,ENSGT00910000144031_ENSG00000255104_zf-H2C2_2,C2H2-zf,0.436829648085,60,130,1,0.0166666666667,-0.0118301461938,16
169,TRIM63,ENSGT00760000118878_ENSG00000158022_zf-B_box,zf-B_box,0.119190283401,5,15,0,0.0,-0.0743301461938,1
170,TMTC4,ENSGT00550000074327_ENSG00000125247_TPR_1,TPR,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
171,PPEF2,ENSGT00530000063173_ENSG00000156194_EF-hand_1,EF_hand,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
172,OPTN,ENSGT00530000063808_ENSG00000123240_NEMO,NEMO,0.270561017929,7,14,1,0.142857142857,0.925669853806,1
173,SPTA1,ENSGT00760000118813_ENSG00000163554_Spectrin,Spectrin,-0.160607287449,0,20,0,0.0,-0.0743301461938,2
174,PLCH1,ENSGT00760000118936_ENSG00000114805_EF-hand_6,EF_hand,-0.184345479082,1,12,0,0.0,-0.0743301461938,1
175,CCDC144A,ENSGT00560000076605_ENSG00000170160_Ank_2,Ank,-0.0452414894224,0,71,0,0.0,-0.0743301461938,30
176,IGDCC3,ENSGT00910000144009_ENSG00000174498_I-set,Ig,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
177,GTF3C2,ENSGT00390000018632_ENSG00000115207_WD40,Beta_propeller,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
178,ALS2,ENSGT00730000110297_ENSG00000003393_RCC1,Beta_propeller,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
179,OSTF1,ENSGT00920000149159_ENSG00000134996_Ank_5,Ank,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
180,AL358113.1,ENSGT00760000118866_ENSG00000285130_PDZ,PDZ-like,-0.15295932138,0,21,0,0.0,-0.0743301461938,2
181,CD180,ENSGT00760000119006_ENSG00000134061_LRR_8,LRR,-0.121214574899,2,10,0,0.0,-0.0743301461938,1
182,SPEN,ENSGT00530000063730_ENSG00000065526_RRM_1,RRM,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
183,LPP,ENSGT00760000119039_ENSG00000145012_LIM,Zn_Beta_Ribbon,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
184,EIF3B,ENSGT00550000074913_ENSG00000106263_eIF2A,Beta_propeller,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
185,SPINK5,ENSGT00510000048608_ENSG00000133710_Kazal_1,Kazal,-0.0673414304993,2,18,0,0.0,-0.0743301461938,1
186,THEG,ENSGT00420000029836_ENSG00000105549_THEG,THEG,0.112550607287,4,7,0,0.0,-0.0743301461938,1
187,LRP4,ENSGT00760000118968_ENSG00000134569_Ldl_recept_b,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
188,SLC25A47,ENSGT00700000104295_ENSG00000140107_Mito_carr,Mito_carr,-0.147476383266,1,15,0,0.0,-0.0743301461938,1
189,ITGB8,ENSGT00760000119064_ENSG00000105855_EGF_2,EGF,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
190,TESC,ENSGT00860000133729_ENSG00000088992_EF-hand_1,EF_hand,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
191,TECPR2,ENSGT00530000063527_ENSG00000196663_Hyd_WA,Hyd_WA,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
192,FZR1,ENSGT00870000136444_ENSG00000105325_WD40,Beta_propeller,-0.170165057614,1,13,0,0.0,-0.0743301461938,1
193,GPNMB,ENSGT00530000063573_ENSG00000136235_PKD,E-set,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
194,PPP1R16A,ENSGT00760000119141_ENSG00000160972_Ank_4,Ank,-0.292013249908,0,11,0,0.0,-0.0743301461938,1
195,CTCFL,ENSGT00890000139371_ENSG00000124092_zf-H2C2_2,C2H2-zf,0.973481781377,11,8,0,0.0,-0.0743301461938,1
196,CFAP44,ENSGT00550000074369_ENSG00000206530_WD40,Beta_propeller,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
197,COA7,ENSGT00390000004835_ENSG00000162377_Sel1,TPR,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
198,ZNF341,ENSGT00390000000546_ENSG00000131061_zf-C2H2,C2H2-zf,-0.147476383266,1,15,0,0.0,-0.0743301461938,1
199,PTPRM,ENSGT00760000118900_ENSG00000173482_fn3,E-set,-0.169060302578,0,19,0,0.0,-0.0743301461938,1
